place,lat,lon
Minsk,53.9006,27.559
Krakow,50.0647,19.945
Evpatoria,45.2009,33.3665
Kyiv,50.4501,30.5234
Riga,56.9496,24.1052
Tartu,58.3776,26.729
"Seoul, SK",37.5665,126.978
"Tokyo, JP",35.6762,139.6503
"Chiba, JP",35.6073,140.1063
"Denver, CO",39.7392,-104.9903
"Arvada, CO",39.8028,-105.0875
"Wheat Ridge, CO",39.7661,-105.0772
"Westminster, CO",39.8367,-105.0372
"Toronto, ON",43.6532,-79.3832
"Bellingham, WA",48.7519,-122.4787
"Puyallup, WA",47.1854,-122.2929
"Portland, OR",45.5152,-122.6784
"Ann Arbor, MI",42.2808,-83.743
"Pleasant Gap, PA",40.9726,-77.7464
"Cayce, SC",33.9657,-81.073
"Palo Alto, CA",37.4419,-122.143
"San Francisco, CA",37.7749,-122.4194
"New York, NY",40.7128,-74.006
Rio de Janeiro,-22.9068,-43.1729
Amsterdam,52.3676,4.9041
Uppsala,59.8586,17.6389
Florence,43.7696,11.2558
Tbilisi,41.7151,44.8271
Antalya,36.8969,30.7133
"Syracuse, NY",43.0481,-76.1474
